commodity_name,factor_id_right
"Crude oil, WTI",F04
"Crude oil, WTI",F21
"Coal, Australia",F16
"Crude oil, Dubai",F02
"Wheat, U.S., HRW",F12
"Wheat, U.S., HRW",F16
"Wheat, U.S., HRW",F22
"Crude oil, average",F20
"Liquefied natural gas, Japan",F02
"Coal, Australia",F17
DAP,F20
Cocoa,F20
Sorghum,F02
"Bananas, U.S.",F20
"Coal, Australia",F08
"Crude oil, average",F15
Sorghum,F20
"Wheat, U.S., HRW",F04
"Bananas, EU",F04
"Wheat, U.S., HRW",F08
"Bananas, EU",F20
Aluminum,F06
Beef,F02
"Crude oil, Brent",F20
"Liquefied natural gas, Japan",F11
"Crude oil, Brent",F06
Copper,F12
"Sugar, EU",F08
Cocoa,F19
"Coal, Australia",F20
DAP,F04
"Liquefied natural gas, Japan",F04
"Crude oil, average",F02
Soybean oil,F11
"Coal, Australia",F02
DAP,F02
"Liquefied natural gas, Japan",F08
Aluminum,F04
"Coal, Australia",F09
"Bananas, EU",F12
DAP,F22
"Sugar, EU",F21
DAP,F21
"Tea, Kolkata",F02
"Rubber, RSS3",F02
"Tea, Kolkata",F17
"Wheat, U.S., HRW",F19
"Coal, Australia",F19
"Coal, Australia",F04
"Tea, Mombasa",F16
"Coal, Australia",F06
DAP,F16
"Liquefied natural gas, Japan",F20
DAP,F08
Cocoa,F16
"Crude oil, average",F12
DAP,F12
Cocoa,F04
Soybean oil,F06
Lamb,F02
"Crude oil, WTI",F16
"Sugar, World",F06
"Crude oil, average",F19
"Bananas, EU",F16
"Natural gas, U.S.",F02
Beef,F20
"Bananas, EU",F08
"Rubber, TSR20",F20
"Rice, Thailand A1",F04
Iron ore,F20
"Crude oil, Brent",F02
Soybean oil,F10
Soybean oil,F16
Beef,F08
"Sugar, EU",F16
"Liquefied natural gas, Japan",F19
Beef,F16
Soybean oil,F08
Iron ore,F21
"Bananas, U.S.",F16
Tin,F04
Copper,F20
Aluminum,F08
Iron ore,F06
"Rubber, RSS3",F20
"Tea, Mombasa",F08
Iron ore,F02
