commodity_name,factor_id_right
Coconut oil,F08
Lead,F08
Lead,F12
Soybean oil,F08
"Natural gas, Europe",F02
Soybeans,F02
"Rubber, RSS3",F04
"Crude oil, Dubai",F15
Coconut oil,F20
Lead,F06
Soybean oil,F21
Barley,F08
Silver,F08
Barley,F19
Groundnut oil,F16
Phosphate rock,F02
"Crude oil, average",F08
Groundnut oil,F02
"Tea, Mombasa",F20
"Rice, Vietnam 5%",F15
"Rubber, RSS3",F06
Phosphate rock,F13
"Coffee, Arabica",F08
Soybean oil,F16
Lead,F16
Platinum,F02
"Tea, Colombo",F08
Silver,F02
Phosphate rock,F08
Phosphate rock,F16
TSP,F02
Phosphate rock,F04
Platinum,F19
"Coal, Australia",F10
Phosphate rock,F06
Copper,F02
Beef,F04
Platinum,F17
Soybeans,F15
"Coffee, Arabica",F02
Fish meal,F08
"Urea, E. Europe",F12
"Coffee, Arabica",F16
Soybeans,F08
Platinum,F16
TSP,F14
"Crude oil, Brent",F02
Lead,F20
"Crude oil, Brent",F16
"Coal, Australia",F02
"Crude oil, Brent",F07
"Coffee, Robusta",F20
"Coal, Australia",F19
Soybeans,F04
Soybeans,F16
Fish meal,F02
Palm oil,F20
"Rubber, RSS3",F08
Platinum,F08
TSP,F16
Phosphate rock,F19
"Logs, S.E. Asia",F13
Cotton,F08
"Coffee, Robusta",F02
"Crude oil, Brent",F08
Tin,F20
Copper,F12
Soybeans,F10
Platinum,F20
Platinum,F04
Iron ore,F16
"Coffee, Robusta",F04
Fish meal,F12
Beef,F02
Cotton,F16
Iron ore,F08
"Wheat, U.S., HRW",F02
Copper,F04
"Crude oil, Brent",F20
Sorghum,F20
TSP,F20
Lamb,F02
Beef,F12
"Crude oil, Dubai",F20
Lamb,F08
Silver,F15
Palm oil,F02
"Coffee, Arabica",F15
Soybean oil,F02
Palm oil,F08
"Coffee, Robusta",F16
"Coal, Australia",F16
Palm oil,F04
Iron ore,F04
"Coal, Australia",F18
"Bananas, U.S.",F02
"Crude oil, average",F16
Iron ore,F02
Palm oil,F16
Barley,F16
"Coffee, Arabica",F04
Lamb,F16
"Rice, Vietnam 5%",F19
Cotton,F04
"Rubber, RSS3",F02
Beef,F08
Silver,F16
"Rice, Vietnam 5%",F20
Soybeans,F12
Groundnut oil,F14
"Urea, E. Europe",F20
Cotton,F02
"Rice, Vietnam 5%",F04
"Rice, Vietnam 5%",F13
"Urea, E. Europe",F02
"Crude oil, Brent",F22
Groundnut oil,F06
Lead,F02
Fish meal,F16
Lamb,F20
"Urea, E. Europe",F04
"Rubber, RSS3",F12
Lamb,F18
Soybean oil,F04
"Crude oil, Brent",F15
"Urea, E. Europe",F08
Barley,F14
Groundnut oil,F04
Barley,F20
Silver,F04
"Tea, Mombasa",F16
"Rice, Vietnam 5%",F02
Soybeans,F21
"Rice, Thailand A1",F13
"Urea, E. Europe",F16
Beef,F06
Phosphate rock,F20
"Crude oil, Brent",F04
Coconut oil,F02
TSP,F19
Copper,F16
"Crude oil, average",F02
"Coffee, Arabica",F20
Soybeans,F20
"Tea, Mombasa",F02
Groundnut oil,F20
Iron ore,F20
"Rice, Thailand A1",F15
Fish meal,F04
"Crude oil, average",F04
"Rice, Vietnam 5%",F08
Copper,F08
Lamb,F04
Copper,F20
Copper,F19
Coconut oil,F16
"Coal, Australia",F20
"Urea, E. Europe",F06
"Rice, Thailand A1",F04
"Urea, E. Europe",F19
Cotton,F20
"Natural gas, Index",F04
Soybean meal,F04
Chicken,F06
Nickel,F02
"Logs, Africa",F20
Silver,F19
"Tea, Colombo",F16
Soybean meal,F08
"Tea, Colombo",F02
Barley,F06
Chicken,F16
DAP,F04
Soybean meal,F02
Sorghum,F07
Chicken,F10
"Natural gas, Europe",F04
Chicken,F02
Nickel,F04
Shrimp,F18
"Liquefied natural gas, Japan",F17
Soybean meal,F20
Beef,F15
"Logs, Africa",F16
DAP,F08
"Natural gas, Index",F12
DAP,F06
"Wheat, U.S., HRW",F08
Barley,F02
Sorghum,F22
DAP,F24
Sorghum,F16
DAP,F20
Sorghum,F06
"Crude oil, average",F12
Shrimp,F10
Zinc,F08
"Sawnwood, S.E. Asia",F20
"Natural gas, U.S.",F08
"Sugar, U.S.",F02
Aluminum,F20
Sorghum,F08
Tin,F16
"Sugar, U.S.",F04
Shrimp,F16
"Crude oil, WTI",F08
Sorghum,F21
Maize,F12
Chicken,F12
"Coal, South Africa",F13
"Sawnwood, S.E. Asia",F16
Sorghum,F02
"Crude oil, WTI",F02
"Logs, Africa",F22
"Rice, Thailand 25%",F16
"Wheat, U.S., HRW",F04
"Natural gas, Index",F16
"Coal, South Africa",F02
Aluminum,F02
DAP,F12
Tin,F04
Chicken,F04
Sorghum,F04
Zinc,F19
"Crude oil, WTI",F04
"Sugar, U.S.",F20
Palmkernel oil,F20
Chicken,F08
Zinc,F16
"Natural gas, Europe",F12
Palmkernel oil,F02
