commodity_name,factor_id_right
Cotton,F08
Maize,F16
Silver,F02
Aluminum,F06
"Tea, Colombo",F16
"Coffee, Robusta",F02
Platinum,F02
TSP,F08
Maize,F01
Plywood,F06
Fish meal,F08
Aluminum,F14
Aluminum,F08
Maize,F17
"Crude oil, Brent",F08
"Natural gas, Europe",F19
Silver,F16
"Sugar, EU",F20
Maize,F02
Silver,F17
Oranges,F08
Lead,F06
"Bananas, U.S.",F20
"Bananas, EU",F20
"Tea, average",F04
DAP,F12
DAP,F04
"Tea, average",F08
"Natural gas, Europe",F02
Oranges,F02
DAP,F20
"Coffee, Robusta",F08
"Natural gas, Europe",F12
Shrimp,F13
"Sugar, U.S.",F16
"Natural gas, Index",F16
DAP,F16
"Sawnwood, S.E. Asia",F16
Lamb,F20
"Sawnwood, Africa",F08
Shrimp,F20
"Sugar, World",F16
"Sugar, EU",F04
Plywood,F14
"Natural gas, Index",F19
Nickel,F04
DAP,F08
Sorghum,F20
Gold,F19
Sorghum,F08
Copper,F19
Plywood,F08
Tin,F04
"Sugar, U.S.",F20
"Natural gas, U.S.",F08
DAP,F02
Soybean meal,F12
Plywood,F04
Fish meal,F06
Sorghum,F14
"Bananas, EU",F02
DAP,F19
Cotton,F16
"Tea, Colombo",F02
DAP,F21
"Natural gas, U.S.",F19
"Rice, Thailand A1",F04
Tin,F02
"Bananas, EU",F04
Nickel,F08
Potassium chloride,F16
Shrimp,F22
"Natural gas, U.S.",F02
"Sawnwood, S.E. Asia",F02
Cotton,F04
Beef,F18
Potassium chloride,F12
"Bananas, EU",F16
Oranges,F04
Zinc,F04
Beef,F08
Potassium chloride,F04
Silver,F08
"Logs, Africa",F02
Aluminum,F20
Lamb,F04
Plywood,F12
"Bananas, U.S.",F04
Potassium chloride,F20
Lamb,F21
Zinc,F16
Gold,F02
Aluminum,F19
Plywood,F20
Potassium chloride,F02
"Sawnwood, Africa",F02
Nickel,F16
Potassium chloride,F08
"Crude oil, Brent",F22
Lamb,F16
Sorghum,F16
Aluminum,F04
TSP,F02
"Coal, Australia",F20
Soybean meal,F20
"Coal, Australia",F04
"Natural gas, Europe",F16
"Crude oil, Brent",F02
Silver,F06
Beef,F04
TSP,F06
"Logs, Africa",F04
"Sugar, EU",F21
Sorghum,F10
"Coal, Australia",F16
"Coffee, Robusta",F16
Coconut oil,F16
"Coal, Australia",F02
Oranges,F20
"Tea, average",F02
Aluminum,F16
"Coal, Australia",F21
"Bananas, U.S.",F16
Sorghum,F19
"Crude oil, Brent",F10
TSP,F04
"Coal, Australia",F19
Aluminum,F02
Cotton,F06
"Natural gas, Europe",F24
"Coal, Australia",F13
Beef,F21
Cotton,F02
Nickel,F02
"Bananas, EU",F08
TSP,F12
"Crude oil, WTI",F04
Coconut oil,F02
TSP,F20
TSP,F14
"Crude oil, WTI",F02
"Sugar, World",F08
Cotton,F20
Shrimp,F21
"Rice, Thailand A1",F08
"Crude oil, WTI",F16
TSP,F15
Cotton,F15
"Crude oil, WTI",F12
Beef,F16
"Sugar, U.S.",F04
"Coffee, Robusta",F04
"Natural gas, Index",F21
"Crude oil, Brent",F04
"Crude oil, Brent",F20
Oranges,F22
"Tea, Colombo",F20
"Crude oil, WTI",F20
"Logs, Africa",F16
"Sugar, World",F02
"Natural gas, Index",F20
"Crude oil, WTI",F08
Silver,F04
"Sugar, World",F22
"Rice, Thailand 25%",F04
Zinc,F12
"Crude oil, WTI",F15
"Natural gas, Europe",F14
Aluminum,F12
"Natural gas, Europe",F20
"Natural gas, Index",F10
Palm oil,F04
"Sugar, EU",F02
"Crude oil, Brent",F13
Sorghum,F02
Shrimp,F08
TSP,F17
"Natural gas, U.S.",F16
Coconut oil,F08
Beef,F20
"Natural gas, Index",F22
Palm oil,F16
Shrimp,F04
"Natural gas, Europe",F15
Fish meal,F02
Copper,F02
Shrimp,F02
Palm oil,F21
"Natural gas, Europe",F04
"Natural gas, Index",F12
Fish meal,F04
"Sawnwood, Africa",F20
"Sugar, U.S.",F08
"Crude oil, WTI",F06
"Natural gas, Index",F02
"Sugar, World",F20
Coconut oil,F20
Palm oil,F02
"Coffee, Robusta",F12
"Rice, Thailand 25%",F09
"Bananas, U.S.",F02
"Crude oil, Brent",F16
"Coffee, Robusta",F20
"Sawnwood, Africa",F04
"Natural gas, Index",F08
Palm oil,F20
"Coffee, Robusta",F06
Silver,F20
"Sugar, EU",F16
"Natural gas, Europe",F10
"Natural gas, Europe",F08
Oranges,F16
Fish meal,F20
Lead,F04
Plywood,F02
"Tea, average",F16
Copper,F06
Shrimp,F12
"Sugar, World",F04
Zinc,F02
Lead,F20
Oranges,F19
Zinc,F08
"Sugar, U.S.",F02
Nickel,F20
Lead,F12
"Sugar, EU",F08
"Crude oil, Brent",F12
Zinc,F20
Copper,F08
"Sawnwood, S.E. Asia",F20
"Tea, average",F20
Lead,F16
Lead,F08
