formula_id,statement_id
F009,S040
F008,S082
F016,S060
F010,S029
F003,S062
F014,S064
F001,S084
F001,S069
F001,S089
F001,S051
F009,S081
F001,S074
F005,S087
F002,S075
F003,S055
F005,S033
F018,S034
F003,S090
F008,S072
F009,S068
F001,S063
F005,S098
F003,S026
F002,S002
F013,S058
F005,S057
F018,S092
F003,S013
F008,S024
F009,S030
F017,S070
F001,S076
F026,S067
F001,S056
F005,S012
F011,S046
F005,S059
F007,S058
F010,S080
F008,S091
F001,S097
F009,S050
F020,S005
F001,S079
F001,S073
F019,S006
F001,S007
F003,S096
F005,S075
F007,S004
F001,S001
F008,S039
F009,S045
F017,S099
F001,S100
F003,S011
F012,S052
F005,S002
