formula_id,statement_id
F001,S035
F008,S082
F009,S044
F005,S098
F019,S006
F001,S073
F017,S099
F005,S059
F001,S071
F003,S011
F005,S033
F009,S040
F001,S051
F008,S091
F002,S075
F001,S001
F018,S092
F001,S076
F005,S075
F001,S089
F003,S055
F005,S002
F004,S023
F003,S003
F003,S062
F008,S039
F013,S004
F001,S007
F018,S034
F002,S033
F001,S088
F003,S013
F005,S012
F011,S046
F003,S026
F008,S051
F021,S028
F001,S077
F017,S070
F007,S058
F010,S029
F012,S052
F002,S012
F001,S010
F003,S096
F005,S087
F001,S085
F010,S080
F003,S090
F026,S067
F001,S078
F020,S005
F016,S060
F002,S087
F001,S079
F014,S064
F005,S057
