formula_id,statement_id
F008,S039
F005,S057
F001,S007
F003,S003
F003,S062
F002,S087
F005,S087
F001,S073
F001,S063
F026,S067
F011,S046
F008,S054
F007,S058
F001,S056
F001,S001
F002,S058
F005,S098
F003,S090
F001,S076
F012,S052
F017,S099
F004,S023
F001,S089
F001,S079
F010,S029
F007,S020
F001,S069
F014,S064
F002,S004
F005,S002
F001,S035
F001,S085
F024,S041
F017,S070
F001,S078
F010,S080
F013,S058
F003,S011
F001,S031
F008,S022
F005,S075
F003,S026
F003,S013
F001,S051
F005,S012
F018,S092
F013,S004
F009,S083
F001,S010
F008,S091
F005,S059
F003,S096
F009,S030
F001,S084
F005,S033
F009,S050
F003,S055
F018,S034
F001,S074
