formula_id,statement_id
F007,S058
F001,S088
F021,S028
F002,S012
F010,S080
F001,S100
F008,S022
F005,S057
F008,S091
F009,S030
F013,S004
F003,S062
F001,S085
F001,S061
F009,S093
F006,S015
F009,S040
F014,S040
F001,S043
F001,S031
F009,S027
F003,S013
F009,S025
F005,S087
F009,S045
F007,S004
F008,S072
F024,S041
F003,S090
F009,S047
F017,S099
F014,S032
F009,S081
F015,S066
F008,S065
F001,S084
F001,S056
F005,S002
F010,S029
F005,S033
F020,S005
F001,S007
F004,S023
F018,S092
F009,S068
F003,S055
F001,S035
F001,S071
F016,S060
F001,S089
F001,S097
F014,S064
F008,S082
F001,S086
F009,S042
F008,S024
F004,S009
F005,S098
F003,S003
F003,S026
F003,S011
F001,S076
F001,S095
F012,S052
F001,S094
F001,S074
F026,S067
F001,S010
F001,S063
F001,S078
F009,S050
F008,S039
F003,S096
F009,S048
F017,S070
F009,S044
F001,S073
F013,S058
F018,S034
F001,S077
F001,S001
F001,S079
F009,S036
F014,S036
F019,S006
F016,S069
F019,S018
F001,S014
F005,S075
F005,S059
F025,S053
F001,S051
F011,S046
F013,S020
