formula_id,statement_id
F001,S061
F001,S076
F001,S094
F008,S065
F001,S051
F001,S007
F019,S018
F008,S022
F016,S069
F020,S058
F001,S035
F013,S058
F001,S079
F012,S052
F008,S039
F020,S005
F003,S003
F009,S081
F003,S013
F011,S046
F003,S055
F008,S024
F026,S067
F009,S025
F017,S099
F010,S080
F025,S053
F024,S041
F001,S056
F001,S078
F014,S064
F017,S070
F001,S088
F003,S011
F009,S068
F004,S023
F005,S059
F001,S063
F009,S045
F001,S014
F005,S075
F001,S073
F019,S006
F023,S038
F001,S043
F009,S036
F015,S066
F001,S031
F008,S008
F003,S026
F018,S034
F003,S090
F007,S004
F016,S060
F009,S050
F005,S002
F001,S085
F021,S028
F009,S040
F001,S071
F001,S077
F001,S100
F005,S033
F005,S057
F009,S030
F009,S048
F013,S004
F005,S087
F009,S093
F001,S086
F009,S027
F001,S074
F008,S049
F004,S009
F008,S082
F003,S062
F005,S012
F009,S047
F018,S026
F003,S096
F009,S032
F018,S092
F001,S089
F001,S097
F021,S037
F001,S001
F005,S098
F010,S029
F008,S091
F001,S095
F001,S010
F009,S042
F009,S044
F007,S058
