formula_id,statement_id
F009,S081
F003,S090
F001,S051
F008,S091
F018,S092
F021,S037
F001,S063
F020,S058
F024,S041
F009,S030
F005,S059
F007,S020
F008,S019
F001,S073
F020,S005
F005,S087
F009,S068
F004,S009
F008,S024
F003,S013
F013,S004
F008,S017
F001,S031
F001,S076
F007,S004
F021,S028
F001,S077
F005,S057
F017,S099
F001,S079
F009,S048
F012,S052
F013,S020
F001,S078
F009,S036
F001,S074
F009,S027
F005,S098
F014,S033
F009,S047
F001,S097
F006,S015
F001,S100
F009,S040
F001,S084
F003,S062
F001,S035
F009,S050
F001,S094
F016,S069
F001,S071
F001,S056
F007,S058
F008,S049
F016,S060
F018,S034
F017,S070
F014,S064
F001,S043
F019,S018
F023,S038
F009,S045
F001,S010
F011,S046
F004,S023
F009,S044
F001,S001
F003,S003
F025,S053
F001,S014
F008,S039
F001,S089
F008,S065
F013,S058
F009,S032
F005,S033
F022,S018
F009,S042
F008,S016
F009,S083
F008,S082
F001,S088
F003,S055
F015,S066
F008,S022
F019,S006
F003,S011
F005,S002
F010,S029
F026,S067
F009,S093
F003,S026
F001,S095
F010,S080
F005,S075
F001,S086
F001,S061
F002,S012
F001,S085
F001,S007
F009,S025
