formula_id,statement_id
F001,S051
F001,S063
F021,S037
F005,S075
F009,S027
F010,S080
F001,S088
F001,S079
F018,S034
F001,S010
F005,S087
F020,S005
F003,S096
F005,S098
F009,S083
F001,S007
F001,S094
F001,S078
F007,S004
F014,S030
F001,S084
F009,S047
F017,S070
F005,S002
F001,S035
F009,S068
F007,S058
F008,S022
F010,S029
F001,S031
F018,S092
F008,S039
F001,S089
F008,S091
F014,S027
F001,S097
F001,S056
F009,S081
F008,S049
F001,S085
F019,S018
F013,S004
F008,S016
F003,S026
F008,S024
F012,S052
F013,S058
F003,S013
F026,S067
F015,S066
F001,S076
F009,S036
F003,S062
F009,S044
F001,S074
F001,S100
F019,S006
F003,S055
F008,S017
F004,S009
F009,S093
F009,S048
F008,S008
F009,S025
F009,S050
F022,S018
F024,S041
F005,S059
F003,S090
F001,S061
F008,S082
F005,S012
F001,S071
F001,S043
F025,S053
F001,S086
F009,S032
F001,S073
F001,S001
F007,S020
F009,S042
F023,S038
F016,S060
F011,S046
F004,S023
F008,S072
F017,S099
F005,S033
F003,S003
F008,S019
F016,S069
F014,S025
F001,S095
F009,S040
F003,S011
F005,S057
F009,S030
F001,S077
F009,S045
F008,S065
F014,S064
F001,S014
