commodity_name,event_id
"Crude oil, Dubai",E07
"Coffee, Robusta",E19
Iron ore,E15
"Coal, Australia",E24
Barley,E13
"Crude oil, Dubai",E03
"Bananas, U.S.",E13
Maize,E13
"Logs, Africa",E19
Cocoa,E06
Cotton,E07
Beef,E02
"Coal, South Africa",E06
DAP,E17
Groundnuts,E13
Cotton,E04
"Rice, Thailand A1",E13
Groundnut oil,E13
Beef,E04
"Coffee, Arabica",E04
Maize,E17
"Coffee, Robusta",E13
Chicken,E05
Aluminum,E17
Cotton,E06
Iron ore,E10
"Crude oil, average",E07
Platinum,E10
"Coffee, Arabica",E06
"Bananas, EU",E04
Maize,E20
Potassium chloride,E17
Plywood,E17
"Crude oil, average",E03
"Crude oil, Brent",E07
Platinum,E02
Maize,E04
"Crude oil, Brent",E03
Plywood,E02
Plywood,E20
Palm oil,E13
Barley,E11
Maize,E06
"Coal, Australia",E17
Beef,E05
Maize,E11
Gold,E01
Aluminum,E06
"Crude oil, Dubai",E08
"Coal, South Africa",E03
"Coal, Australia",E02
"Logs, Africa",E10
"Crude oil, Dubai",E01
"Coffee, Robusta",E04
Fish meal,E13
"Crude oil, Dubai",E21
Barley,E05
Palm oil,E17
"Logs, S.E. Asia",E15
Gold,E18
"Coffee, Robusta",E06
Phosphate rock,E14
Barley,E17
"Crude oil, Dubai",E09
Lead,E15
"Coal, Australia",E06
"Rice, Thailand A1",E12
Copper,E21
"Logs, S.E. Asia",E13
Gold,E02
"Crude oil, average",E15
Fish meal,E10
DAP,E08
Cocoa,E19
Lead,E01
Coconut oil,E13
Maize,E07
"Crude oil, average",E08
"Crude oil, Brent",E15
"Bananas, U.S.",E04
"Crude oil, average",E01
"Crude oil, Brent",E08
"Logs, S.E. Asia",E10
Plywood,E07
Barley,E06
"Crude oil, Dubai",E15
"Crude oil, Brent",E01
Cotton,E19
"Coal, South Africa",E15
"Coffee, Arabica",E19
"Crude oil, Brent",E21
"Crude oil, average",E09
"Crude oil, average",E18
DAP,E14
"Logs, S.E. Asia",E20
"Coal, South Africa",E08
"Crude oil, average",E10
Cocoa,E13
Copper,E15
"Crude oil, Brent",E09
"Coal, South Africa",E01
"Bananas, EU",E19
"Crude oil, Brent",E18
Groundnut oil,E06
"Crude oil, Brent",E10
"Crude oil, average",E02
"Coal, Australia",E03
Phosphate rock,E10
"Crude oil, average",E20
Lamb,E20
Gold,E17
Copper,E01
"Rice, Thailand 5%",E13
Aluminum,E19
"Crude oil, Brent",E02
Beef,E03
Cotton,E13
"Crude oil, Dubai",E18
"Coal, South Africa",E09
"Crude oil, Dubai",E10
"Crude oil, Dubai",E17
"Rice, Thailand 5%",E12
Cocoa,E24
Gold,E20
"Rubber, RSS3",E15
"Coal, South Africa",E24
Lamb,E06
"Tea, average",E24
"Crude oil, Dubai",E02
"Crude oil, Dubai",E20
Copper,E10
Barley,E08
"Bananas, EU",E13
Aluminum,E15
Maize,E08
"Rubber, RSS3",E13
Cotton,E10
Platinum,E15
Aluminum,E08
Plywood,E15
Copper,E02
Copper,E20
"Coffee, Arabica",E24
Cotton,E02
Lead,E10
Potassium chloride,E08
Plywood,E08
DAP,E18
Cotton,E20
Platinum,E01
DAP,E10
Plywood,E01
"Crude oil, average",E17
Platinum,E21
"Rubber, RSS3",E10
"Coal, Australia",E15
Lead,E20
"Tea, average",E13
"Crude oil, Brent",E17
"Coal, Australia",E08
Aluminum,E10
Maize,E19
"Coal, Australia",E01
"Rice, Thailand 25%",E13
Chicken,E17
Iron ore,E19
Aluminum,E02
"Rice, Thailand 25%",E12
"Coffee, Arabica",E13
Aluminum,E20
"Coal, South Africa",E17
Palm oil,E08
Groundnuts,E19
Groundnut oil,E19
"Coal, Australia",E09
"Coffee, Robusta",E24
