commodity_name,event_id
Gold,E02
Beef,E19
Groundnut oil,E13
"Rice, Thailand A1",E20
Gold,E17
Beef,E05
"Bananas, U.S.",E20
"Bananas, EU",E19
Aluminum,E20
"Rubber, RSS3",E13
"Crude oil, Dubai",E08
Gold,E08
Aluminum,E06
Potassium chloride,E08
"Crude oil, Brent",E08
Plywood,E10
Maize,E13
Palm oil,E08
"Crude oil, average",E20
"Logs, Africa",E01
"Crude oil, Dubai",E03
"Coffee, Robusta",E06
DAP,E17
"Crude oil, Dubai",E01
Cotton,E10
Phosphate rock,E17
Platinum,E10
Iron ore,E15
Groundnut oil,E06
"Crude oil, Dubai",E18
Lead,E15
"Coal, South Africa",E08
"Crude oil, Brent",E18
"Tea, average",E13
"Logs, Africa",E10
"Bananas, EU",E03
"Crude oil, Dubai",E10
Copper,E10
"Crude oil, Brent",E10
"Coal, Australia",E08
Plywood,E08
Cotton,E13
"Coal, South Africa",E01
"Coffee, Arabica",E04
Fish meal,E10
Maize,E06
"Coal, Australia",E03
"Coal, Australia",E01
Maize,E04
"Crude oil, average",E09
"Rubber, RSS3",E15
"Logs, S.E. Asia",E10
Lamb,E13
DAP,E14
"Coal, South Africa",E06
Groundnuts,E13
Palm oil,E13
Barley,E17
Iron ore,E19
"Bananas, U.S.",E04
"Coal, Australia",E10
Fish meal,E13
"Coal, Australia",E06
"Rice, Thailand 5%",E12
Coconut oil,E13
"Rice, Thailand 25%",E12
Lead,E02
"Crude oil, Brent",E09
"Rice, Thailand 5%",E13
"Rice, Thailand 25%",E13
Maize,E07
"Coal, South Africa",E24
Aluminum,E15
Gold,E01
"Logs, S.E. Asia",E13
Cotton,E06
Barley,E11
"Coal, Australia",E24
"Tea, average",E24
Gold,E18
"Crude oil, average",E21
DAP,E08
"Crude oil, Dubai",E20
"Crude oil, average",E15
Gold,E20
"Coffee, Arabica",E19
Copper,E20
"Crude oil, Brent",E20
"Coal, South Africa",E09
Lamb,E06
"Rubber, RSS3",E02
Chicken,E05
Platinum,E15
Groundnuts,E06
"Logs, Africa",E15
Beef,E06
"Crude oil, average",E07
"Crude oil, Dubai",E15
Maize,E22
"Crude oil, Brent",E15
DAP,E18
Maize,E17
"Coal, South Africa",E20
Aluminum,E02
Barley,E05
Iron ore,E10
Phosphate rock,E14
Plywood,E20
"Crude oil, Brent",E07
"Coffee, Robusta",E19
Maize,E11
"Crude oil, Dubai",E09
Aluminum,E17
Barley,E13
"Coal, South Africa",E15
Cotton,E20
"Crude oil, average",E02
Groundnut oil,E19
Barley,E08
Cocoa,E24
Platinum,E02
"Coal, Australia",E15
Plywood,E15
Aluminum,E08
"Crude oil, average",E17
Cocoa,E13
"Crude oil, Brent",E02
Aluminum,E01
Plywood,E07
"Crude oil, average",E08
Platinum,E21
"Crude oil, Dubai",E17
Maize,E19
Potassium chloride,E17
"Coal, Australia",E09
"Crude oil, Brent",E17
"Coffee, Arabica",E24
Cotton,E07
"Crude oil, Dubai",E21
Palm oil,E17
Lead,E01
"Crude oil, average",E03
Copper,E21
Beef,E04
Maize,E05
Copper,E15
Barley,E06
"Coffee, Arabica",E13
"Crude oil, Brent",E21
Fish meal,E04
Aluminum,E10
DAP,E20
"Coal, South Africa",E02
Iron ore,E20
"Crude oil, average",E18
"Bananas, EU",E04
Plywood,E19
"Rice, Thailand A1",E12
Plywood,E02
Cocoa,E06
Maize,E08
Lead,E10
"Crude oil, average",E10
"Rice, Thailand A1",E13
"Logs, S.E. Asia",E15
"Coal, South Africa",E17
Cocoa,E19
Cotton,E19
Cotton,E02
"Coal, Australia",E17
"Bananas, U.S.",E13
Plywood,E17
"Coffee, Robusta",E24
"Logs, Africa",E19
"Coffee, Robusta",E13
"Coal, South Africa",E03
"Coffee, Arabica",E06
"Rubber, RSS3",E10
"Crude oil, Dubai",E02
Groundnuts,E19
Copper,E02
