commodity_name,factor_id
"Natural gas, Europe",F12
Maize,F04
"Sugar, U.S.",F21
"Crude oil, WTI",F02
"Wheat, U.S., HRW",F02
"Bananas, U.S.",F02
DAP,F02
"Natural gas, U.S.",F04
"Crude oil, Brent",F02
Soybean meal,F02
"Natural gas, Index",F08
"Wheat, U.S., HRW",F17
"Wheat, U.S., SRW",F21
Palm oil,F21
Plywood,F02
Maize,F02
Groundnuts,F02
Palmkernel oil,F02
Barley,F12
Copper,F02
"Natural gas, U.S.",F02
"Coal, South Africa",F02
Groundnuts,F17
Beef,F12
"Sugar, EU",F02
"Logs, Africa",F02
"Rice, Thailand 5%",F17
Aluminum,F12
"Rice, Vietnam 5%",F02
Zinc,F20
"Crude oil, average",F08
"Crude oil, Dubai",F12
Soybeans,F02
Platinum,F02
"Natural gas, Index",F04
Groundnuts,F16
Shrimp,F02
Phosphate rock,F12
Barley,F21
"Coffee, Robusta",F20
"Crude oil, WTI",F04
DAP,F12
"Crude oil, average",F21
"Crude oil, Brent",F12
"Wheat, U.S., SRW",F17
Palm oil,F17
Aluminum,F21
"Natural gas, Index",F02
Sorghum,F21
"Coal, Australia",F17
"Sawnwood, Africa",F21
Sorghum,F19
Iron ore,F02
"Crude oil, Dubai",F21
"Coal, Australia",F08
"Tea, average",F20
Groundnut oil,F21
Zinc,F02
"Natural gas, Europe",F08
"Wheat, U.S., SRW",F19
Lamb,F12
Soybean oil,F21
"Logs, S.E. Asia",F21
"Coal, Australia",F21
Tin,F20
"Rice, Thailand 5%",F02
"Sawnwood, S.E. Asia",F21
"Rice, Thailand 25%",F21
TSP,F02
"Natural gas, Europe",F21
"Crude oil, average",F02
"Rice, Thailand A1",F21
Gold,F19
"Liquefied natural gas, Japan",F21
Cotton,F21
Potassium chloride,F02
Fish meal,F21
"Sugar, U.S.",F02
"Rice, Thailand A1",F19
"Tea, Kolkata",F20
Coconut oil,F21
Coconut oil,F20
"Tea, Mombasa",F20
Sorghum,F17
"Rubber, RSS3",F21
"Coffee, Arabica",F20
"Wheat, U.S., SRW",F02
"Crude oil, WTI",F12
Lead,F20
"Coffee, Arabica",F16
"Coffee, Robusta",F16
Palm oil,F02
"Sawnwood, Africa",F17
Iron ore,F12
Groundnut oil,F17
"Logs, S.E. Asia",F02
"Sugar, World",F21
"Crude oil, Dubai",F08
"Tea, Colombo",F20
"Coal, Australia",F02
Tin,F02
Maize,F12
Soybean oil,F17
"Logs, S.E. Asia",F17
Gold,F02
"Sawnwood, S.E. Asia",F17
"Rubber, TSR20",F21
"Crude oil, Brent",F08
"Rice, Thailand 25%",F17
"Tea, average",F16
Nickel,F02
"Crude oil, average",F04
Gold,F17
"Crude oil, WTI",F21
"Tea, Kolkata",F02
DAP,F21
"Rice, Thailand A1",F17
"Liquefied natural gas, Japan",F17
"Crude oil, Brent",F21
"Coffee, Arabica",F02
"Coffee, Robusta",F02
Barley,F02
"Liquefied natural gas, Japan",F08
"Natural gas, U.S.",F08
Soybean meal,F21
"Coal, South Africa",F08
Plywood,F21
Coconut oil,F17
Maize,F21
Platinum,F12
Beef,F02
"Crude oil, Dubai",F04
Palmkernel oil,F21
"Tea, Colombo",F02
"Sugar, World",F02
Copper,F21
Aluminum,F02
"Natural gas, U.S.",F21
"Coal, South Africa",F21
Sorghum,F02
Fish meal,F20
"Sugar, EU",F21
"Logs, Africa",F21
Fish meal,F16
"Sawnwood, Africa",F02
"Tea, Kolkata",F16
"Tea, average",F02
"Crude oil, Dubai",F02
"Urea, E. Europe",F02
Groundnut oil,F02
"Natural gas, Index",F12
"Tea, Mombasa",F16
Coconut oil,F16
"Rice, Vietnam 5%",F21
Phosphate rock,F02
"Natural gas, Europe",F04
"Rice, Vietnam 5%",F19
Soybeans,F21
Soybean oil,F02
"Liquefied natural gas, Japan",F04
Nickel,F12
Cocoa,F20
Shrimp,F21
Zinc,F12
Chicken,F02
"Sawnwood, S.E. Asia",F02
Cocoa,F16
"Tea, Colombo",F16
"Rice, Thailand 25%",F02
Silver,F19
"Crude oil, WTI",F08
"Natural gas, Europe",F02
Barley,F04
"Rice, Thailand A1",F02
Plywood,F17
"Natural gas, Index",F21
"Liquefied natural gas, Japan",F02
"Bananas, EU",F02
Cotton,F02
TSP,F12
"Crude oil, average",F12
Fish meal,F02
"Wheat, U.S., HRW",F21
Oranges,F02
Palmkernel oil,F17
Coconut oil,F02
"Tea, Mombasa",F02
"Wheat, U.S., HRW",F19
Lamb,F02
"Natural gas, U.S.",F17
Potassium chloride,F12
"Coal, South Africa",F17
"Rubber, RSS3",F02
Lead,F02
"Logs, Africa",F17
Groundnuts,F21
"Urea, E. Europe",F12
Groundnuts,F20
Cocoa,F02
Silver,F02
"Rice, Vietnam 5%",F17
"Rice, Thailand 5%",F21
TSP,F21
Soybeans,F17
Silver,F17
"Crude oil, Brent",F04
Chicken,F12
"Rubber, TSR20",F02
