commodity_name,factor_id
"Coal, Australia",F02
Cocoa,F02
Plywood,F11
Gold,F02
"Rice, Vietnam 5%",F19
"Rice, Vietnam 5%",F21
"Logs, Africa",F02
"Rice, Thailand 25%",F21
"Rubber, RSS3",F21
Palmkernel oil,F21
Iron ore,F04
"Crude oil, average",F04
"Natural gas, Europe",F21
"Sawnwood, S.E. Asia",F02
Shrimp,F02
Maize,F04
"Wheat, U.S., SRW",F02
"Natural gas, U.S.",F17
Soybean meal,F21
"Urea, E. Europe",F02
"Liquefied natural gas, Japan",F04
Copper,F02
"Rice, Thailand 5%",F02
"Rice, Thailand A1",F21
Copper,F20
"Coffee, Robusta",F02
"Liquefied natural gas, Japan",F08
"Rubber, TSR20",F20
"Sawnwood, Africa",F02
Nickel,F04
"Natural gas, Europe",F07
"Coal, Australia",F21
Groundnut oil,F02
"Natural gas, Index",F04
Lead,F02
Gold,F19
"Logs, Africa",F21
"Crude oil, Brent",F07
"Natural gas, Index",F08
"Rubber, RSS3",F16
"Bananas, EU",F02
Palmkernel oil,F02
"Sawnwood, S.E. Asia",F21
"Crude oil, WTI",F07
Shrimp,F21
Beef,F16
"Coal, South Africa",F17
"Wheat, U.S., SRW",F19
Platinum,F04
Coconut oil,F17
"Tea, Kolkata",F02
Potassium chloride,F02
"Crude oil, Dubai",F12
"Natural gas, Europe",F04
"Crude oil, Brent",F02
Soybean oil,F02
Palm oil,F17
Sorghum,F17
Copper,F21
"Rubber, TSR20",F21
DAP,F02
"Crude oil, WTI",F02
"Natural gas, Europe",F08
Silver,F02
Lamb,F12
"Sawnwood, Africa",F21
Barley,F02
Cotton,F02
Groundnut oil,F21
Aluminum,F12
Cotton,F20
"Sugar, World",F02
TSP,F12
"Logs, Africa",F11
Zinc,F12
Chicken,F02
"Sawnwood, S.E. Asia",F11
Gold,F04
"Coal, Australia",F08
"Coffee, Arabica",F02
"Crude oil, Brent",F21
Soybean oil,F21
DAP,F21
"Rubber, TSR20",F16
"Crude oil, WTI",F21
"Rubber, TSR20",F02
"Rice, Thailand A1",F19
Silver,F19
Palm oil,F02
"Sawnwood, Africa",F11
Barley,F21
Cotton,F21
Potassium chloride,F24
"Sugar, World",F21
"Logs, S.E. Asia",F17
"Crude oil, average",F12
DAP,F24
Maize,F12
"Natural gas, U.S.",F07
"Tea, Colombo",F02
"Rice, Vietnam 5%",F17
"Tea, average",F02
"Coal, South Africa",F21
"Natural gas, U.S.",F02
Nickel,F12
"Crude oil, Dubai",F07
"Crude oil, Brent",F04
"Natural gas, Index",F12
Groundnuts,F17
"Wheat, U.S., HRW",F17
Palm oil,F21
Sorghum,F21
Cotton,F16
Soybean meal,F17
"Crude oil, WTI",F04
"Urea, E. Europe",F24
"Crude oil, Brent",F08
"Sugar, EU",F21
"Tea, Mombasa",F02
Barley,F04
Phosphate rock,F12
"Crude oil, Dubai",F02
"Crude oil, WTI",F08
"Coal, South Africa",F07
Platinum,F12
Soybeans,F17
"Bananas, U.S.",F02
"Natural gas, Europe",F12
Beef,F12
Lamb,F16
Lamb,F02
Gold,F17
Plywood,F17
Fish meal,F02
"Coal, South Africa",F02
Aluminum,F02
"Natural gas, U.S.",F21
Coconut oil,F02
TSP,F02
"Liquefied natural gas, Japan",F17
"Wheat, U.S., SRW",F17
Sorghum,F02
Zinc,F02
"Coal, South Africa",F08
"Rice, Thailand 5%",F17
"Sugar, EU",F02
"Wheat, U.S., HRW",F02
"Crude oil, Dubai",F21
Tin,F02
"Sugar, U.S.",F02
"Crude oil, average",F07
Soybeans,F02
"Urea, E. Europe",F12
"Rice, Thailand 25%",F17
"Liquefied natural gas, Japan",F07
Aluminum,F21
Palmkernel oil,F17
Coconut oil,F21
TSP,F21
Iron ore,F02
"Crude oil, average",F02
Plywood,F02
Maize,F02
Sorghum,F19
Soybean oil,F17
"Natural gas, Index",F07
Groundnuts,F21
"Liquefied natural gas, Japan",F02
"Wheat, U.S., HRW",F19
"Wheat, U.S., HRW",F21
"Natural gas, U.S.",F08
Silver,F17
"Crude oil, average",F08
"Rice, Thailand A1",F17
"Sugar, U.S.",F21
TSP,F24
"Logs, S.E. Asia",F11
"Logs, S.E. Asia",F02
Nickel,F02
"Coal, Australia",F17
"Crude oil, Dubai",F04
Soybeans,F21
"Natural gas, Index",F02
Potassium chloride,F12
"Logs, Africa",F17
"Crude oil, Dubai",F08
"Crude oil, Brent",F12
"Sawnwood, S.E. Asia",F17
"Crude oil, average",F21
DAP,F12
"Crude oil, WTI",F12
Phosphate rock,F02
Maize,F21
"Rice, Vietnam 5%",F02
Plywood,F21
Platinum,F02
"Rice, Thailand 25%",F02
"Rubber, RSS3",F02
Barley,F12
"Natural gas, Europe",F02
Beef,F02
"Liquefied natural gas, Japan",F21
"Rubber, RSS3",F20
"Wheat, U.S., SRW",F21
Groundnuts,F02
Soybean meal,F02
"Coal, Australia",F07
Oranges,F02
"Sawnwood, Africa",F17
"Rice, Thailand 5%",F21
Chicken,F12
"Logs, S.E. Asia",F21
Groundnut oil,F17
"Natural gas, Index",F21
"Rice, Thailand A1",F02
