commodity_name,factor_id
"Rubber, TSR20",F02
Maize,F12
"Coal, Australia",F07
"Sawnwood, Africa",F16
"Urea, E. Europe",F12
"Liquefied natural gas, Japan",F04
Potassium chloride,F12
Copper,F21
"Natural gas, U.S.",F12
Groundnut oil,F17
Copper,F20
Barley,F04
Plywood,F16
Chicken,F21
"Crude oil, average",F12
TSP,F04
"Coal, South Africa",F07
"Wheat, U.S., SRW",F11
Barley,F02
"Wheat, U.S., HRW",F11
Sorghum,F21
Oranges,F21
"Coffee, Robusta",F16
"Coffee, Arabica",F02
TSP,F02
Oranges,F20
Sorghum,F19
"Rice, Thailand A1",F21
"Crude oil, WTI",F21
"Tea, average",F24
Soybean oil,F02
"Sugar, EU",F02
Groundnuts,F17
"Tea, Kolkata",F21
Tin,F12
"Rice, Thailand A1",F19
Maize,F21
"Tea, Mombasa",F24
"Coal, Australia",F12
"Crude oil, WTI",F19
Aluminum,F21
Nickel,F04
"Crude oil, Dubai",F12
"Sawnwood, Africa",F02
Soybeans,F02
"Natural gas, Europe",F12
Platinum,F12
Palm oil,F02
Iron ore,F12
Aluminum,F20
"Wheat, U.S., SRW",F02
"Natural gas, U.S.",F21
Nickel,F02
"Crude oil, Brent",F12
Fish meal,F12
Coconut oil,F02
Palmkernel oil,F02
Soybean meal,F21
"Coffee, Arabica",F16
DAP,F12
"Tea, Colombo",F21
Plywood,F02
"Rice, Thailand 25%",F02
"Sugar, EU",F16
"Natural gas, Index",F21
"Tea, Colombo",F24
Chicken,F16
"Coal, South Africa",F12
"Logs, Africa",F21
Lead,F20
"Bananas, U.S.",F16
"Natural gas, Index",F19
Oranges,F16
"Liquefied natural gas, Japan",F12
"Logs, Africa",F20
"Coffee, Robusta",F02
Beef,F21
"Sugar, World",F21
Cotton,F21
Cotton,F20
Lamb,F21
"Sugar, World",F20
Soybean oil,F17
"Tea, Kolkata",F16
Barley,F12
"Coal, Australia",F21
Silver,F19
Tin,F20
Aluminum,F16
Soybeans,F17
Palm oil,F17
Copper,F02
Cocoa,F16
Silver,F02
DAP,F21
Coconut oil,F17
Palmkernel oil,F17
"Tea, average",F21
"Tea, Mombasa",F21
"Coal, South Africa",F21
Chicken,F02
Gold,F19
Nickel,F12
"Bananas, U.S.",F02
"Logs, Africa",F16
"Rubber, RSS3",F21
Sorghum,F02
Oranges,F02
Phosphate rock,F04
"Crude oil, WTI",F04
Zinc,F12
"Sawnwood, S.E. Asia",F21
Beef,F16
Cotton,F16
"Rubber, RSS3",F20
"Rice, Vietnam 5%",F21
Gold,F02
"Tea, average",F02
"Rice, Thailand A1",F02
Copper,F16
Maize,F04
"Sawnwood, S.E. Asia",F20
Phosphate rock,F02
Lamb,F16
Shrimp,F21
"Tea, Kolkata",F02
Potassium chloride,F04
"Natural gas, U.S.",F19
Maize,F02
"Crude oil, average",F21
Shrimp,F20
Aluminum,F02
"Logs, S.E. Asia",F21
"Urea, E. Europe",F02
Potassium chloride,F02
Cocoa,F02
"Crude oil, average",F19
"Sugar, U.S.",F21
Soybean meal,F02
"Natural gas, Index",F04
Silver,F17
"Tea, average",F16
"Tea, Colombo",F02
"Sugar, U.S.",F20
Lead,F02
"Tea, Mombasa",F16
"Wheat, U.S., HRW",F21
"Crude oil, Dubai",F21
"Logs, Africa",F02
"Rice, Thailand 5%",F21
Silver,F12
"Natural gas, Europe",F21
TSP,F12
Groundnuts,F21
"Coal, Australia",F19
Beef,F02
Cotton,F02
"Sugar, World",F02
"Sawnwood, S.E. Asia",F16
"Crude oil, Brent",F21
Zinc,F20
Fish meal,F21
Gold,F17
"Rubber, TSR20",F21
"Natural gas, Europe",F19
Platinum,F19
Iron ore,F20
Lamb,F02
Tin,F02
Shrimp,F16
"Crude oil, Brent",F19
"Rubber, TSR20",F20
"Tea, Colombo",F16
"Coffee, Robusta",F24
"Bananas, EU",F16
"Liquefied natural gas, Japan",F21
"Crude oil, WTI",F12
Phosphate rock,F12
"Coal, South Africa",F19
"Sugar, World",F16
DAP,F02
"Sugar, U.S.",F16
"Liquefied natural gas, Japan",F19
Aluminum,F12
Barley,F21
"Urea, E. Europe",F04
"Rice, Vietnam 5%",F19
"Tea, Mombasa",F02
"Coffee, Arabica",F21
TSP,F21
"Rubber, RSS3",F02
Groundnut oil,F21
"Coffee, Arabica",F24
Soybean oil,F21
"Sugar, EU",F21
"Sawnwood, S.E. Asia",F02
"Rice, Vietnam 5%",F02
"Logs, S.E. Asia",F20
"Natural gas, Index",F12
Lead,F12
"Sugar, EU",F20
"Rubber, TSR20",F16
"Crude oil, average",F04
"Sawnwood, Africa",F21
Soybeans,F21
Shrimp,F02
Palm oil,F21
"Wheat, U.S., SRW",F21
"Sawnwood, Africa",F20
Coconut oil,F21
"Bananas, EU",F02
"Logs, S.E. Asia",F02
Copper,F12
Groundnut oil,F02
Platinum,F17
Palmkernel oil,F21
"Natural gas, U.S.",F07
"Rubber, RSS3",F16
Nickel,F20
Plywood,F21
"Wheat, U.S., SRW",F19
"Wheat, U.S., HRW",F19
"Rice, Thailand 25%",F21
"Tea, Kolkata",F24
"Sugar, U.S.",F02
"Crude oil, Dubai",F19
"Crude oil, Dubai",F04
Plywood,F20
"Natural gas, Europe",F04
Platinum,F04
Iron ore,F04
"Coffee, Robusta",F21
"Wheat, U.S., HRW",F02
"Crude oil, Brent",F04
Cocoa,F24
"Rice, Thailand 5%",F02
Zinc,F02
Platinum,F02
DAP,F04
Gold,F12
"Logs, S.E. Asia",F16
Iron ore,F02
Groundnuts,F02
Fish meal,F02
