commodity_name,event_id
"Logs, S.E. Asia",E03
"Coffee, Arabica",E24
"Coal, Australia",E15
Cotton,E19
Beef,E24
"Logs, S.E. Asia",E10
DAP,E06
Iron ore,E17
Copper,E21
"Crude oil, Dubai",E07
Barley,E19
"Rice, Thailand 25%",E13
"Coal, Australia",E24
DAP,E24
Cocoa,E20
Barley,E06
Aluminum,E19
"Bananas, EU",E06
"Coal, Australia",E23
"Bananas, EU",E24
"Crude oil, average",E07
Barley,E22
Phosphate rock,E20
Lamb,E20
Lamb,E03
"Rice, Thailand 5%",E12
Palm oil,E19
"Coal, South Africa",E23
"Coffee, Arabica",E06
Cocoa,E06
"Crude oil, Dubai",E03
"Rice, Thailand A1",E06
Maize,E06
Maize,E11
Beef,E19
"Rice, Thailand 5%",E03
Potassium chloride,E19
"Coffee, Arabica",E13
Groundnut oil,E13
Iron ore,E22
"Rice, Thailand A1",E03
Groundnut oil,E24
Cotton,E20
"Coal, South Africa",E10
"Bananas, U.S.",E19
Coconut oil,E06
"Tea, average",E19
"Bananas, U.S.",E02
"Crude oil, Brent",E10
Lamb,E19
"Crude oil, average",E08
"Coffee, Robusta",E24
"Coal, Australia",E03
"Crude oil, Dubai",E18
"Coal, South Africa",E03
Fish meal,E19
Aluminum,E24
Copper,E20
Fish meal,E24
Groundnuts,E19
"Tea, average",E24
"Crude oil, average",E10
"Coffee, Robusta",E03
Maize,E13
Copper,E19
Palm oil,E06
"Coffee, Robusta",E16
"Rice, Thailand 5%",E19
"Crude oil, average",E09
Plywood,E19
"Bananas, U.S.",E07
Potassium chloride,E24
"Crude oil, Dubai",E09
"Crude oil, average",E17
Palm oil,E13
"Bananas, U.S.",E03
"Crude oil, average",E18
"Rice, Thailand 25%",E06
Plywood,E07
"Rice, Thailand 5%",E14
Cocoa,E24
Groundnut oil,E06
Coconut oil,E03
"Logs, Africa",E24
Maize,E19
Cotton,E06
Plywood,E03
"Crude oil, average",E19
"Rice, Thailand A1",E01
Chicken,E06
Cocoa,E13
"Rice, Thailand A1",E12
Cotton,E24
Cotton,E03
Barley,E14
"Coffee, Robusta",E19
"Rice, Thailand A1",E24
Potassium chloride,E17
"Bananas, EU",E19
Chicken,E19
Potassium chloride,E14
"Rice, Thailand 25%",E14
"Rice, Thailand 5%",E13
Groundnuts,E06
"Logs, Africa",E06
Iron ore,E19
Beef,E10
Phosphate rock,E08
"Bananas, U.S.",E24
"Coffee, Robusta",E06
Cocoa,E16
Gold,E18
Maize,E04
"Rubber, RSS3",E06
"Coal, South Africa",E08
Palm oil,E03
"Coffee, Arabica",E04
"Bananas, EU",E04
Barley,E24
Copper,E23
Coconut oil,E19
"Bananas, EU",E03
"Rice, Thailand A1",E02
Maize,E08
"Crude oil, Dubai",E10
"Coffee, Arabica",E03
"Logs, S.E. Asia",E06
Chicken,E10
"Rubber, RSS3",E07
"Bananas, EU",E13
Cocoa,E19
Lead,E08
"Crude oil, Brent",E03
"Coffee, Arabica",E10
"Logs, S.E. Asia",E24
Maize,E16
"Coal, South Africa",E24
Fish meal,E06
Phosphate rock,E14
"Crude oil, Brent",E24
"Rubber, RSS3",E24
Plywood,E24
Maize,E14
"Rice, Thailand 25%",E08
"Rice, Thailand 25%",E22
"Crude oil, Dubai",E24
Chicken,E03
"Rice, Thailand 5%",E06
"Coal, Australia",E06
Lamb,E24
Aluminum,E06
"Rubber, RSS3",E10
"Rubber, RSS3",E19
Palm oil,E24
"Rubber, RSS3",E15
"Bananas, U.S.",E06
Cocoa,E04
"Crude oil, average",E02
Lamb,E06
"Coal, Australia",E17
Phosphate rock,E24
"Coffee, Robusta",E10
Potassium chloride,E06
Cotton,E07
"Coffee, Arabica",E19
Iron ore,E15
"Crude oil, Brent",E18
"Rice, Thailand 5%",E22
"Coffee, Robusta",E20
"Rice, Thailand 25%",E24
"Coal, South Africa",E09
"Crude oil, average",E03
"Coffee, Robusta",E02
Barley,E03
Iron ore,E24
"Rice, Thailand 25%",E12
"Tea, average",E06
Plywood,E06
"Coal, Australia",E08
"Crude oil, Dubai",E02
"Crude oil, Brent",E15
Chicken,E24
Beef,E08
Barley,E11
"Coal, Australia",E09
"Crude oil, Brent",E02
Groundnut oil,E19
Palm oil,E20
Coconut oil,E24
"Tea, average",E10
"Logs, S.E. Asia",E20
"Rubber, RSS3",E13
"Crude oil, Dubai",E08
DAP,E17
"Rice, Thailand 5%",E11
Maize,E03
Maize,E24
Fish meal,E05
"Coffee, Robusta",E04
"Coal, South Africa",E06
"Tea, average",E16
"Rice, Thailand 25%",E03
"Crude oil, average",E01
"Crude oil, Dubai",E19
Palm oil,E15
"Crude oil, Brent",E07
"Bananas, U.S.",E13
"Crude oil, average",E24
"Rice, Thailand 25%",E11
"Rice, Thailand A1",E19
Iron ore,E03
"Logs, Africa",E19
DAP,E14
"Rice, Thailand 5%",E24
Beef,E06
Groundnuts,E13
"Bananas, EU",E07
"Coffee, Robusta",E13
Groundnuts,E24
Phosphate rock,E19
"Rice, Thailand A1",E13
"Crude oil, Brent",E17
"Crude oil, Brent",E09
