commodity_name,event_id
"Crude oil, Brent",E07
Iron ore,E15
Copper,E15
Palm oil,E13
Chicken,E03
Groundnuts,E16
"Crude oil, Dubai",E09
"Crude oil, Brent",E24
Copper,E19
Cotton,E13
"Rice, Thailand 5%",E24
Fish meal,E24
Beef,E02
Maize,E17
"Coffee, Arabica",E24
Cotton,E20
Iron ore,E17
Barley,E13
"Coal, Australia",E23
"Crude oil, Dubai",E17
"Rubber, RSS3",E24
"Rice, Thailand 25%",E24
Plywood,E06
"Bananas, U.S.",E20
"Rice, Thailand 5%",E12
"Crude oil, average",E09
DAP,E24
"Crude oil, average",E06
"Crude oil, Dubai",E10
Maize,E03
"Coffee, Arabica",E19
Cotton,E24
"Coffee, Robusta",E03
"Crude oil, Brent",E01
Phosphate rock,E24
"Crude oil, average",E24
Plywood,E19
"Crude oil, average",E03
Palm oil,E06
"Rubber, RSS3",E15
Maize,E07
"Coal, Australia",E15
Cotton,E04
Lead,E24
"Coffee, Robusta",E06
Iron ore,E19
"Tea, average",E19
Chicken,E19
Chicken,E24
Coconut oil,E19
Platinum,E24
"Coal, Australia",E06
"Crude oil, average",E13
"Rice, Thailand 5%",E13
"Coal, Australia",E03
"Coal, South Africa",E24
Coconut oil,E13
Beef,E03
Barley,E24
Barley,E03
Lamb,E24
"Bananas, EU",E06
Fish meal,E07
Barley,E16
"Crude oil, average",E19
Cocoa,E06
Cotton,E19
Gold,E18
"Crude oil, Dubai",E15
"Crude oil, average",E10
"Bananas, EU",E04
Maize,E06
Plywood,E24
"Logs, S.E. Asia",E06
"Coal, South Africa",E09
"Coal, Australia",E17
Barley,E11
"Tea, average",E20
"Rice, Thailand A1",E24
Maize,E14
Potassium chloride,E24
DAP,E14
Maize,E11
"Coal, South Africa",E15
Coconut oil,E24
Groundnuts,E22
"Rice, Thailand 5%",E01
"Coal, South Africa",E06
"Rice, Thailand 25%",E03
Groundnuts,E03
"Crude oil, average",E01
Cocoa,E04
DAP,E19
Beef,E16
"Crude oil, Brent",E19
"Tea, average",E06
Lamb,E03
"Bananas, U.S.",E13
Cotton,E06
Coconut oil,E06
Barley,E19
Cotton,E15
"Coal, Australia",E24
"Rice, Thailand 25%",E19
"Coal, South Africa",E17
"Rice, Thailand 5%",E19
Maize,E04
"Coal, South Africa",E23
"Coffee, Robusta",E24
"Crude oil, average",E07
Cocoa,E19
"Rubber, RSS3",E19
Maize,E24
Cocoa,E13
"Coffee, Robusta",E16
"Tea, average",E03
"Bananas, U.S.",E04
"Coffee, Arabica",E04
"Bananas, U.S.",E24
Palm oil,E03
Groundnuts,E06
Groundnuts,E24
Aluminum,E08
"Rice, Thailand A1",E11
Aluminum,E24
"Crude oil, Dubai",E08
"Rice, Thailand A1",E13
Beef,E06
"Bananas, U.S.",E07
Aluminum,E19
"Coffee, Arabica",E06
"Crude oil, Brent",E18
Lamb,E06
"Coal, Australia",E08
Maize,E13
"Crude oil, average",E08
Cotton,E07
"Tea, average",E16
"Logs, Africa",E24
"Coal, South Africa",E03
"Rice, Thailand 25%",E20
"Bananas, U.S.",E19
Barley,E17
Copper,E24
"Rice, Thailand 5%",E06
"Bananas, EU",E24
"Bananas, U.S.",E16
Aluminum,E23
"Rice, Thailand 25%",E12
"Crude oil, Brent",E08
"Bananas, U.S.",E03
"Crude oil, average",E02
"Tea, average",E24
DAP,E03
Barley,E06
Fish meal,E19
Cocoa,E16
"Rice, Thailand A1",E03
Groundnut oil,E24
"Logs, Africa",E03
"Rice, Thailand A1",E20
Palm oil,E19
"Bananas, EU",E10
"Rice, Thailand 25%",E06
"Logs, S.E. Asia",E03
Maize,E05
"Logs, Africa",E19
Phosphate rock,E19
"Rice, Thailand 5%",E11
Groundnuts,E13
DAP,E17
"Coal, Australia",E09
Cocoa,E24
"Rice, Thailand 5%",E03
"Coffee, Robusta",E13
"Crude oil, Dubai",E06
"Bananas, EU",E03
"Coal, South Africa",E08
Groundnuts,E19
Potassium chloride,E19
Palm oil,E24
"Coffee, Arabica",E16
"Rice, Thailand 25%",E13
Beef,E24
"Rice, Thailand 5%",E22
Cotton,E03
"Coffee, Arabica",E03
"Bananas, U.S.",E06
Lead,E19
Phosphate rock,E14
Iron ore,E24
"Rubber, RSS3",E06
"Bananas, EU",E13
"Rice, Thailand A1",E06
DAP,E08
Coconut oil,E03
"Rice, Thailand A1",E12
Iron ore,E20
Groundnut oil,E06
"Logs, S.E. Asia",E24
Maize,E08
Chicken,E06
"Crude oil, average",E17
Copper,E23
"Crude oil, Brent",E17
"Coffee, Robusta",E19
Groundnut oil,E19
"Crude oil, Dubai",E02
"Coffee, Robusta",E04
"Crude oil, Brent",E09
Beef,E19
Copper,E22
Potassium chloride,E06
"Crude oil, average",E18
"Crude oil, Dubai",E18
"Bananas, EU",E19
Potassium chloride,E03
Potassium chloride,E14
"Rubber, RSS3",E10
Barley,E08
"Coffee, Arabica",E13
Maize,E19
"Rubber, RSS3",E13
