commodity_name,event_id
Palm oil,E24
Iron ore,E20
Lamb,E06
Maize,E20
Maize,E07
"Coffee, Arabica",E19
"Bananas, U.S.",E24
"Crude oil, average",E18
"Bananas, U.S.",E07
Maize,E16
"Rice, Thailand 25%",E13
"Rice, Thailand A1",E13
DAP,E08
Cotton,E03
Coconut oil,E24
"Coal, South Africa",E17
"Coal, Australia",E17
DAP,E06
"Crude oil, average",E10
Beef,E24
"Coffee, Robusta",E14
Plywood,E07
"Bananas, U.S.",E04
"Rice, Thailand A1",E19
"Logs, Africa",E20
"Coal, South Africa",E06
"Tea, average",E10
Lead,E22
Copper,E21
"Crude oil, Dubai",E10
"Rubber, RSS3",E10
"Bananas, U.S.",E03
"Rice, Thailand A1",E12
"Coffee, Robusta",E19
"Crude oil, average",E19
"Coffee, Arabica",E16
"Coal, South Africa",E09
DAP,E14
"Rice, Thailand 5%",E16
"Bananas, EU",E24
"Logs, S.E. Asia",E10
"Rice, Thailand A1",E22
Cotton,E06
"Rice, Thailand 25%",E06
Cocoa,E10
Aluminum,E19
"Rice, Thailand 25%",E19
"Rice, Thailand 5%",E13
Coconut oil,E06
Chicken,E19
"Rice, Thailand 25%",E12
Phosphate rock,E03
"Logs, Africa",E06
"Coffee, Robusta",E24
Palm oil,E19
"Coffee, Arabica",E04
Maize,E17
"Tea, average",E13
Groundnut oil,E24
"Crude oil, Brent",E24
Barley,E19
Cocoa,E04
"Crude oil, Brent",E18
Potassium chloride,E14
"Coffee, Arabica",E06
"Rubber, RSS3",E24
Aluminum,E15
"Rubber, RSS3",E06
Maize,E13
"Crude oil, Dubai",E09
Iron ore,E15
"Logs, S.E. Asia",E06
Barley,E04
"Rice, Thailand 5%",E20
"Bananas, U.S.",E20
Maize,E24
"Rice, Thailand 5%",E11
"Coffee, Robusta",E13
Fish meal,E24
"Crude oil, average",E09
"Rice, Thailand 5%",E24
Groundnuts,E19
"Bananas, U.S.",E13
"Crude oil, Brent",E09
Copper,E23
Barley,E13
"Logs, Africa",E19
"Logs, S.E. Asia",E15
"Coal, Australia",E09
Barley,E16
"Crude oil, average",E08
"Bananas, U.S.",E06
Copper,E19
Groundnut oil,E19
Barley,E11
Iron ore,E03
"Crude oil, average",E17
Copper,E17
"Crude oil, average",E03
Coconut oil,E03
Cotton,E07
"Rice, Thailand A1",E06
Potassium chloride,E03
"Crude oil, Brent",E02
Barley,E24
Barley,E03
Aluminum,E22
Groundnuts,E06
Palm oil,E06
"Coffee, Arabica",E03
"Crude oil, Dubai",E07
Cocoa,E13
Groundnut oil,E06
Groundnut oil,E03
"Crude oil, Dubai",E02
Maize,E15
"Rice, Thailand 5%",E03
Barley,E06
"Tea, average",E24
Plywood,E19
Potassium chloride,E17
"Coal, South Africa",E23
"Rubber, RSS3",E19
"Coffee, Robusta",E03
"Rice, Thailand 5%",E06
"Crude oil, average",E02
Aluminum,E24
"Bananas, EU",E19
Groundnuts,E24
Cocoa,E19
DAP,E17
"Crude oil, Dubai",E08
Cotton,E19
"Crude oil, Brent",E07
"Crude oil, average",E07
"Rice, Thailand A1",E11
Chicken,E03
Potassium chloride,E19
Fish meal,E19
"Coal, Australia",E24
Maize,E06
"Crude oil, Brent",E19
"Logs, Africa",E03
"Logs, Africa",E24
Gold,E08
"Rice, Thailand A1",E03
"Bananas, EU",E04
Beef,E06
"Coffee, Arabica",E13
DAP,E03
Fish meal,E03
"Coal, South Africa",E03
Maize,E11
Cotton,E24
"Logs, S.E. Asia",E19
Cocoa,E16
"Tea, average",E19
Phosphate rock,E24
"Crude oil, Brent",E17
"Rice, Thailand 5%",E22
Aluminum,E06
"Crude oil, Dubai",E24
"Bananas, U.S.",E19
Groundnut oil,E13
"Tea, average",E06
"Coal, Australia",E02
"Rice, Thailand 5%",E19
"Crude oil, Brent",E01
Iron ore,E24
"Coal, Australia",E06
"Crude oil, Dubai",E18
"Crude oil, Brent",E08
Maize,E19
Potassium chloride,E06
"Bananas, EU",E06
"Crude oil, Brent",E03
"Bananas, EU",E22
Coconut oil,E19
"Rice, Thailand 5%",E14
"Coffee, Robusta",E16
"Bananas, EU",E13
"Rice, Thailand 5%",E12
"Coal, Australia",E23
"Coal, Australia",E03
Copper,E22
Cocoa,E06
"Rice, Thailand A1",E24
Copper,E08
"Crude oil, Dubai",E17
"Coal, South Africa",E08
"Bananas, EU",E14
Potassium chloride,E24
Cocoa,E24
"Rice, Thailand 25%",E24
Palm oil,E03
"Bananas, EU",E03
"Coffee, Arabica",E24
Maize,E03
Plywood,E24
Copper,E15
Plywood,E06
Chicken,E24
"Crude oil, average",E06
"Coffee, Robusta",E06
Chicken,E02
Maize,E08
"Logs, S.E. Asia",E24
Lamb,E24
"Crude oil, average",E24
Maize,E04
"Coal, South Africa",E24
Lamb,E03
